datetime,time,power,price,revenue,date
2026-04-01 21:45:00,21:45,140.0,382.0,13370.0,2026-04-01
2026-04-01 22:00:00,22:00,140.0,375.0,13125.0,2026-04-01
2026-04-01 22:15:00,22:15,140.0,372.0,13020.0,2026-04-01
2026-04-01 22:30:00,22:30,140.0,370.0,12950.0,2026-04-01
2026-04-01 22:45:00,22:45,140.0,360.0,12600.0,2026-04-01
2026-04-01 23:00:00,23:00,140.0,360.0,12600.0,2026-04-01
2026-04-01 23:15:00,23:15,140.0,360.0,12600.0,2026-04-01
2026-04-01 23:30:00,23:30,140.0,350.0,12250.0,2026-04-01
2026-04-01 23:45:00,23:45,140.0,350.0,12250.0,2026-04-01
2026-04-02 00:00:00,24:00,140.0,346.0,12110.0,2026-04-01
2026-04-02 00:15:00,00:15,120.0,360.0,10800.0,2026-04-02
2026-04-02 00:30:00,00:30,120.0,355.0,10650.0,2026-04-02
2026-04-02 00:45:00,00:45,120.0,351.0,10530.0,2026-04-02
2026-04-02 01:00:00,01:00,120.0,350.0,10500.0,2026-04-02
2026-04-02 01:15:00,01:15,120.0,350.0,10500.0,2026-04-02
2026-04-02 01:30:00,01:30,120.0,350.0,10500.0,2026-04-02
2026-04-02 01:45:00,01:45,120.0,350.0,10500.0,2026-04-02
2026-04-02 02:00:00,02:00,120.0,350.0,10500.0,2026-04-02
2026-04-02 02:15:00,02:15,120.0,350.0,10500.0,2026-04-02
2026-04-02 02:30:00,02:30,120.0,350.0,10500.0,2026-04-02
2026-04-02 02:45:00,02:45,120.0,347.0,10410.0,2026-04-02
2026-04-02 03:00:00,03:00,120.0,346.0,10380.0,2026-04-02
2026-04-02 03:15:00,03:15,120.0,344.0,10320.0,2026-04-02
2026-04-02 03:30:00,03:30,120.0,340.0,10200.0,2026-04-02
2026-04-02 03:45:00,03:45,120.0,335.0,10050.0,2026-04-02
2026-04-02 04:00:00,04:00,120.0,335.0,10050.0,2026-04-02
2026-04-02 04:15:00,04:15,120.0,335.0,10050.0,2026-04-02
2026-04-02 04:30:00,04:30,120.0,335.0,10050.0,2026-04-02
2026-04-02 04:45:00,04:45,120.0,340.0,10200.0,2026-04-02
2026-04-02 05:00:00,05:00,120.0,344.0,10320.0,2026-04-02
2026-04-02 05:15:00,05:15,120.0,350.0,10500.0,2026-04-02
2026-04-02 05:30:00,05:30,120.0,350.0,10500.0,2026-04-02
2026-04-02 05:45:00,05:45,120.0,360.0,10800.0,2026-04-02
2026-04-02 06:00:00,06:00,120.0,360.0,10800.0,2026-04-02
2026-04-02 06:15:00,06:15,120.0,370.0,11100.0,2026-04-02
2026-04-02 06:30:00,06:30,120.0,370.0,11100.0,2026-04-02
2026-04-02 06:45:00,06:45,120.0,371.0,11130.0,2026-04-02
2026-04-02 07:00:00,07:00,120.0,370.0,11100.0,2026-04-02
2026-04-02 07:15:00,07:15,120.0,370.0,11100.0,2026-04-02
2026-04-02 07:30:00,07:30,120.0,360.0,10800.0,2026-04-02
2026-04-02 07:45:00,07:45,120.0,350.0,10500.0,2026-04-02
2026-04-02 08:00:00,08:00,120.0,340.0,10200.0,2026-04-02
2026-04-02 08:15:00,08:15,120.0,320.0,9600.0,2026-04-02
2026-04-02 08:30:00,08:30,120.0,305.0,9150.0,2026-04-02
2026-04-02 08:45:00,08:45,120.0,300.0,9000.0,2026-04-02
2026-04-02 09:00:00,09:00,120.0,307.0,9210.0,2026-04-02
2026-04-02 09:15:00,09:15,120.0,300.0,9000.0,2026-04-02
2026-04-02 09:30:00,09:30,120.0,300.0,9000.0,2026-04-02
2026-04-02 09:45:00,09:45,120.0,275.0,8250.0,2026-04-02
2026-04-02 10:00:00,10:00,120.0,243.0,7290.0,2026-04-02
2026-04-02 10:15:00,10:15,120.0,200.0,6000.0,2026-04-02
2026-04-02 10:30:00,10:30,120.0,126.0,3780.0,2026-04-02
2026-04-02 10:45:00,10:45,120.0,0.0,0.0,2026-04-02
2026-04-02 11:00:00,11:00,120.0,253.0,7590.0,2026-04-02
2026-04-02 11:15:00,11:15,120.0,260.0,7800.0,2026-04-02
2026-04-02 11:30:00,11:30,120.0,255.0,7650.0,2026-04-02
2026-04-02 11:45:00,11:45,120.0,253.0,7590.0,2026-04-02
2026-04-02 12:00:00,12:00,120.0,250.0,7500.0,2026-04-02
2026-04-02 12:15:00,12:15,120.0,256.0,7680.0,2026-04-02
2026-04-02 12:30:00,12:30,120.0,272.0,8160.0,2026-04-02
2026-04-02 12:45:00,12:45,120.0,260.0,7800.0,2026-04-02
2026-04-02 13:00:00,13:00,120.0,255.0,7650.0,2026-04-02
2026-04-02 13:15:00,13:15,120.0,238.0,7140.0,2026-04-02
2026-04-02 13:30:00,13:30,120.0,200.0,6000.0,2026-04-02
2026-04-02 13:45:00,13:45,120.0,250.0,7500.0,2026-04-02
2026-04-02 14:00:00,14:00,120.0,250.0,7500.0,2026-04-02
2026-04-02 14:15:00,14:15,120.0,253.0,7590.0,2026-04-02
2026-04-02 14:30:00,14:30,120.0,282.0,8460.0,2026-04-02
2026-04-02 14:45:00,14:45,120.0,290.0,8700.0,2026-04-02
2026-04-02 15:00:00,15:00,120.0,300.0,9000.0,2026-04-02
2026-04-02 15:15:00,15:15,120.0,300.0,9000.0,2026-04-02
2026-04-02 15:30:00,15:30,120.0,317.0,9510.0,2026-04-02
2026-04-02 15:45:00,15:45,120.0,330.0,9900.0,2026-04-02
2026-04-02 16:00:00,16:00,120.0,345.0,10350.0,2026-04-02
2026-04-02 16:15:00,16:15,120.0,350.0,10500.0,2026-04-02
2026-04-02 16:30:00,16:30,120.0,360.0,10800.0,2026-04-02
2026-04-02 16:45:00,16:45,120.0,371.0,11130.0,2026-04-02
2026-04-02 17:00:00,17:00,120.0,380.0,11400.0,2026-04-02
2026-04-02 17:15:00,17:15,120.0,382.0,11460.0,2026-04-02
2026-04-02 17:30:00,17:30,120.0,390.0,11700.0,2026-04-02
2026-04-02 17:45:00,17:45,120.0,390.0,11700.0,2026-04-02
2026-04-02 18:00:00,18:00,120.0,390.0,11700.0,2026-04-02
2026-04-02 18:15:00,18:15,120.0,397.0,11910.0,2026-04-02
2026-04-02 18:30:00,18:30,120.0,390.0,11700.0,2026-04-02
2026-04-02 18:45:00,18:45,120.0,390.0,11700.0,2026-04-02
2026-04-02 19:00:00,19:00,120.0,386.0,11580.0,2026-04-02
2026-04-02 19:15:00,19:15,120.0,390.0,11700.0,2026-04-02
2026-04-02 19:30:00,19:30,120.0,390.0,11700.0,2026-04-02
2026-04-02 19:45:00,19:45,120.0,380.0,11400.0,2026-04-02
2026-04-02 20:00:00,20:00,120.0,370.0,11100.0,2026-04-02
2026-04-02 20:15:00,20:15,120.0,370.0,11100.0,2026-04-02
2026-04-02 20:30:00,20:30,120.0,360.0,10800.0,2026-04-02
2026-04-02 20:45:00,20:45,120.0,360.0,10800.0,2026-04-02
2026-04-02 21:00:00,21:00,120.0,350.0,10500.0,2026-04-02
2026-04-02 21:15:00,21:15,120.0,351.0,10530.0,2026-04-02
2026-04-02 21:30:00,21:30,120.0,350.0,10500.0,2026-04-02
2026-04-02 21:45:00,21:45,120.0,354.0,10620.0,2026-04-02
2026-04-02 22:00:00,22:00,120.0,351.0,10530.0,2026-04-02
2026-04-02 22:15:00,22:15,120.0,350.0,10500.0,2026-04-02
2026-04-02 22:30:00,22:30,120.0,340.0,10200.0,2026-04-02
2026-04-02 22:45:00,22:45,120.0,330.0,9900.0,2026-04-02
2026-04-02 23:00:00,23:00,120.0,310.0,9300.0,2026-04-02
2026-04-02 23:15:00,23:15,120.0,300.0,9000.0,2026-04-02
2026-04-02 23:30:00,23:30,120.0,300.0,9000.0,2026-04-02
2026-04-02 23:45:00,23:45,120.0,300.0,9000.0,2026-04-02
2026-04-03 00:00:00,24:00,120.0,288.0,8640.0,2026-04-02
2026-04-03 00:15:00,00:15,120.0,325.0,9750.0,2026-04-03
2026-04-03 00:30:00,00:30,120.0,300.0,9000.0,2026-04-03
2026-04-03 00:45:00,00:45,120.0,300.0,9000.0,2026-04-03
2026-04-03 01:00:00,01:00,120.0,300.0,9000.0,2026-04-03
2026-04-03 01:15:00,01:15,120.0,305.0,9150.0,2026-04-03
2026-04-03 01:30:00,01:30,120.0,300.0,9000.0,2026-04-03
2026-04-03 01:45:00,01:45,120.0,300.0,9000.0,2026-04-03
2026-04-03 02:00:00,02:00,120.0,300.0,9000.0,2026-04-03
2026-04-03 02:15:00,02:15,120.0,300.0,9000.0,2026-04-03
2026-04-03 02:30:00,02:30,120.0,300.0,9000.0,2026-04-03
2026-04-03 02:45:00,02:45,120.0,300.0,9000.0,2026-04-03
2026-04-03 03:00:00,03:00,120.0,288.0,8640.0,2026-04-03
2026-04-03 03:15:00,03:15,120.0,282.0,8460.0,2026-04-03
2026-04-03 03:30:00,03:30,120.0,280.0,8400.0,2026-04-03
2026-04-03 03:45:00,03:45,120.0,275.0,8250.0,2026-04-03
2026-04-03 04:00:00,04:00,120.0,280.0,8400.0,2026-04-03
2026-04-03 04:15:00,04:15,120.0,280.0,8400.0,2026-04-03
2026-04-03 04:30:00,04:30,120.0,282.0,8460.0,2026-04-03
2026-04-03 04:45:00,04:45,120.0,285.0,8550.0,2026-04-03
2026-04-03 05:00:00,05:00,120.0,288.0,8640.0,2026-04-03
2026-04-03 05:15:00,05:15,120.0,295.0,8850.0,2026-04-03
2026-04-03 05:30:00,05:30,120.0,300.0,9000.0,2026-04-03
2026-04-03 05:45:00,05:45,120.0,310.0,9300.0,2026-04-03
2026-04-03 06:00:00,06:00,120.0,320.0,9600.0,2026-04-03
2026-04-03 06:15:00,06:15,120.0,320.0,9600.0,2026-04-03
2026-04-03 06:30:00,06:30,120.0,332.0,9960.0,2026-04-03
2026-04-03 06:45:00,06:45,120.0,320.0,9600.0,2026-04-03
2026-04-03 07:00:00,07:00,120.0,310.0,9300.0,2026-04-03
2026-04-03 07:15:00,07:15,120.0,313.0,9390.0,2026-04-03
2026-04-03 07:30:00,07:30,122.5,310.0,9493.75,2026-04-03
2026-04-03 07:45:00,07:45,140.0,300.0,10500.0,2026-04-03
2026-04-03 08:00:00,08:00,140.0,300.0,10500.0,2026-04-03
2026-04-03 08:15:00,08:15,140.0,288.0,10080.0,2026-04-03
2026-04-03 08:30:00,08:30,140.0,288.0,10080.0,2026-04-03
2026-04-03 08:45:00,08:45,140.0,290.0,10150.0,2026-04-03
2026-04-03 09:00:00,09:00,140.0,295.0,10325.0,2026-04-03
2026-04-03 09:15:00,09:15,140.0,300.0,10500.0,2026-04-03
2026-04-03 09:30:00,09:30,140.0,290.0,10150.0,2026-04-03
2026-04-03 09:45:00,09:45,140.0,285.0,9975.0,2026-04-03
2026-04-03 10:00:00,10:00,140.0,272.0,9520.0,2026-04-03
2026-04-03 10:15:00,10:15,140.0,238.0,8330.0,2026-04-03
2026-04-03 10:30:00,10:30,122.5,220.0,6737.5,2026-04-03
2026-04-03 10:45:00,10:45,120.0,0.0,0.0,2026-04-03
2026-04-03 11:00:00,11:00,120.0,0.0,0.0,2026-04-03
2026-04-03 11:15:00,11:15,120.0,0.0,0.0,2026-04-03
2026-04-03 11:30:00,11:30,120.0,238.0,7140.0,2026-04-03
2026-04-03 11:45:00,11:45,120.0,213.0,6390.0,2026-04-03
2026-04-03 12:00:00,12:00,120.0,213.0,6390.0,2026-04-03
2026-04-03 12:15:00,12:15,120.0,220.0,6600.0,2026-04-03
2026-04-03 12:30:00,12:30,120.0,250.0,7500.0,2026-04-03
2026-04-03 12:45:00,12:45,120.0,282.0,8460.0,2026-04-03
2026-04-03 13:00:00,13:00,120.0,282.0,8460.0,2026-04-03
2026-04-03 13:15:00,13:15,120.0,255.0,7650.0,2026-04-03
2026-04-03 13:30:00,13:30,120.0,200.0,6000.0,2026-04-03
2026-04-03 13:45:00,13:45,120.0,0.0,0.0,2026-04-03
2026-04-03 14:00:00,14:00,120.0,0.0,0.0,2026-04-03
2026-04-03 14:15:00,14:15,120.0,0.0,0.0,2026-04-03
2026-04-03 14:30:00,14:30,120.0,0.0,0.0,2026-04-03
2026-04-03 14:45:00,14:45,120.0,200.0,6000.0,2026-04-03
2026-04-03 15:00:00,15:00,120.0,250.0,7500.0,2026-04-03
2026-04-03 15:15:00,15:15,120.0,275.0,8250.0,2026-04-03
2026-04-03 15:30:00,15:30,120.0,290.0,8700.0,2026-04-03
2026-04-03 15:45:00,15:45,120.0,295.0,8850.0,2026-04-03
2026-04-03 16:00:00,16:00,120.0,295.0,8850.0,2026-04-03
2026-04-03 16:15:00,16:15,120.0,300.0,9000.0,2026-04-03
2026-04-03 16:30:00,16:30,122.5,317.0,9708.125,2026-04-03
2026-04-03 16:45:00,16:45,140.0,340.0,11900.0,2026-04-03
2026-04-03 17:00:00,17:00,140.0,350.0,12250.0,2026-04-03
2026-04-03 17:15:00,17:15,140.0,350.0,12250.0,2026-04-03
2026-04-03 17:30:00,17:30,140.0,354.0,12390.0,2026-04-03
2026-04-03 17:45:00,17:45,140.0,355.0,12425.0,2026-04-03
2026-04-03 18:00:00,18:00,140.0,360.0,12600.0,2026-04-03
2026-04-03 18:15:00,18:15,140.0,370.0,12950.0,2026-04-03
2026-04-03 18:30:00,18:30,140.0,370.0,12950.0,2026-04-03
2026-04-03 18:45:00,18:45,140.0,380.0,13300.0,2026-04-03
2026-04-03 19:00:00,19:00,140.0,385.0,13475.0,2026-04-03
2026-04-03 19:15:00,19:15,140.0,400.0,14000.0,2026-04-03
2026-04-03 19:30:00,19:30,140.0,397.0,13895.0,2026-04-03
2026-04-03 19:45:00,19:45,140.0,400.0,14000.0,2026-04-03
2026-04-03 20:00:00,20:00,140.0,400.0,14000.0,2026-04-03
2026-04-03 20:15:00,20:15,140.0,405.0,14175.0,2026-04-03
2026-04-03 20:30:00,20:30,140.0,400.0,14000.0,2026-04-03
2026-04-03 20:45:00,20:45,140.0,400.0,14000.0,2026-04-03
2026-04-03 21:00:00,21:00,140.0,400.0,14000.0,2026-04-03
2026-04-03 21:15:00,21:15,140.0,400.0,14000.0,2026-04-03
2026-04-03 21:30:00,21:30,140.0,408.0,14280.0,2026-04-03
2026-04-03 21:45:00,21:45,140.0,410.0,14350.0,2026-04-03
2026-04-03 22:00:00,22:00,140.0,405.0,14175.0,2026-04-03
2026-04-03 22:15:00,22:15,140.0,401.0,14035.0,2026-04-03
2026-04-03 22:30:00,22:30,140.0,400.0,14000.0,2026-04-03
2026-04-03 22:45:00,22:45,140.0,397.0,13895.0,2026-04-03
2026-04-03 23:00:00,23:00,140.0,390.0,13650.0,2026-04-03
2026-04-03 23:15:00,23:15,140.0,390.0,13650.0,2026-04-03
2026-04-03 23:30:00,23:30,140.0,390.0,13650.0,2026-04-03
2026-04-03 23:45:00,23:45,140.0,400.0,14000.0,2026-04-03
2026-04-04 00:00:00,24:00,140.0,390.0,13650.0,2026-04-03
2026-04-04 00:15:00,00:15,120.26,433.0,13018.145,2026-04-04
2026-04-04 00:30:00,00:30,120.0,420.0,12600.0,2026-04-04
2026-04-04 00:45:00,00:45,120.0,417.0,12510.0,2026-04-04
2026-04-04 01:00:00,01:00,120.0,413.0,12390.0,2026-04-04
2026-04-04 01:15:00,01:15,120.0,411.76,12352.8,2026-04-04
2026-04-04 01:30:00,01:30,120.0,410.0,12300.0,2026-04-04
2026-04-04 01:45:00,01:45,120.0,410.0,12300.0,2026-04-04
2026-04-04 02:00:00,02:00,120.0,410.0,12300.0,2026-04-04
2026-04-04 02:15:00,02:15,120.0,410.0,12300.0,2026-04-04
2026-04-04 02:30:00,02:30,120.0,400.0,12000.0,2026-04-04
2026-04-04 02:45:00,02:45,120.0,400.0,12000.0,2026-04-04
2026-04-04 03:00:00,03:00,120.0,396.0,11880.0,2026-04-04
2026-04-04 03:15:00,03:15,120.0,390.0,11700.0,2026-04-04
2026-04-04 03:30:00,03:30,120.0,385.0,11550.0,2026-04-04
2026-04-04 03:45:00,03:45,120.0,380.0,11400.0,2026-04-04
2026-04-04 04:00:00,04:00,120.0,380.0,11400.0,2026-04-04
2026-04-04 04:15:00,04:15,120.0,370.0,11100.0,2026-04-04
2026-04-04 04:30:00,04:30,120.0,370.0,11100.0,2026-04-04
2026-04-04 04:45:00,04:45,120.0,370.0,11100.0,2026-04-04
2026-04-04 05:00:00,05:00,120.0,365.0,10950.0,2026-04-04
2026-04-04 05:15:00,05:15,120.0,370.0,11100.0,2026-04-04
2026-04-04 05:30:00,05:30,120.0,370.0,11100.0,2026-04-04
2026-04-04 05:45:00,05:45,120.0,370.0,11100.0,2026-04-04
